territoryid,territorydescription,regionid,regiondescription
1581,Westboro,1,Eastern
1730,Bedford,1,Eastern
1833,Georgetow,1,Eastern
2116,Boston,1,Eastern
2139,Cambridge,1,Eastern
2184,Braintree,1,Eastern
2903,Providence,1,Eastern
6897,Wilton,1,Eastern
7960,Morristown,1,Eastern
8837,Edison,1,Eastern
10019,New York,1,Eastern
10038,New York,1,Eastern
11747,Mellvile,1,Eastern
14450,Fairport,1,Eastern
19713,Neward,1,Eastern
20852,Rockville,1,Eastern
27403,Greensboro,1,Eastern
27511,Cary,1,Eastern
40222,Louisville,1,Eastern
3049,Hollis,3,Northern
3801,Portsmouth,3,Northern
19428,Philadelphia,3,Northern
44122,Beachwood,3,Northern
45839,Findlay,3,Northern
48075,Southfield,3,Northern
48084,Troy,3,Northern
48304,Bloomfield Hills,3,Northern
53404,Racine,3,Northern
55113,Roseville,3,Northern
55439,Minneapolis,3,Northern
29202,Columbia,4,Southern
30346,Atlanta,4,Southern
31406,Savannah,4,Southern
32859,Orlando,4,Southern
33607,Tampa,4,Southern
72716,Bentonville,4,Southern
75234,Dallas,4,Southern
78759,Austin,4,Southern
60179,Hoffman Estates,2,Western
60601,Chicago,2,Western
80202,Denver,2,Western
80909,Colorado Springs,2,Western
85014,Phoenix,2,Western
85251,Scottsdale,2,Western
90405,Santa Monica,2,Western
94025,Menlo Park,2,Western
94105,San Francisco,2,Western
95008,Campbell,2,Western
95054,Santa Clara,2,Western
95060,Santa Cruz,2,Western
98004,Bellevue,2,Western
98052,Redmond,2,Western
98104,Seattle,2,Western
